"id","package","object","title","meta_analysis_ready","metareg_ready"
"metadat_dat.aloe2013","metadat","dat.aloe2013","Studies on the Association Between Supervision Quality and Various Outcomes in Social, Mental Health, and Child Welfare Workers",FALSE,FALSE
"metadat_dat.anand1999","metadat","dat.anand1999","Studies on the Effectiveness of Oral Anticoagulants in Patients with Coronary Artery Disease",FALSE,FALSE
"metadat_dat.assink2016","metadat","dat.assink2016","Studies on the Association between Recidivism and Mental Health",TRUE,TRUE
"metadat_dat.axfors2021","metadat","dat.axfors2021","Mortality Outcomes with Hydroxychloroquine and Chloroquine in COVID-19 from an International Collaborative Meta-Analysis of Randomized Trials",FALSE,FALSE
"metadat_dat.bakdash2021","metadat","dat.bakdash2021","Dataset on Situation Awareness and Task Performance Associations",FALSE,FALSE
"metadat_dat.baker2009","metadat","dat.baker2009","Studies on Pharmacologic Treatments for Chronic Obstructive Pulmonary Disease",FALSE,FALSE
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions",TRUE,TRUE
"metadat_dat.bartos2023","metadat","dat.bartos2023","Results of 350,757 Coin Flips to Examine Same-Side Bias",FALSE,FALSE
"metadat_dat.baskerville2012","metadat","dat.baskerville2012","Studies on the Effectiveness of Practice Facilitation Interventions",FALSE,FALSE
"metadat_dat.bassler2004","metadat","dat.bassler2004","Studies on Ketotifen Alone or as Additional Medication for Long-Term Control of Asthma and Wheeze in Children",FALSE,FALSE
"metadat_dat.bcg","metadat","dat.bcg","Studies on the Effectiveness of the BCG Vaccine Against Tuberculosis",TRUE,FALSE
"metadat_dat.begg1989","metadat","dat.begg1989","Studies on Bone-Marrow Transplantation versus Chemotherapy for the Treatment of Leukemia",TRUE,TRUE
"metadat_dat.berkey1998","metadat","dat.berkey1998","Studies on Treatments for Periodontal Disease",TRUE,TRUE
"metadat_dat.besson2016","metadat","dat.besson2016","Dataset on How Maternal Diet Impacts Copying Styles in Rodents",FALSE,FALSE
"metadat_dat.bonett2010","metadat","dat.bonett2010","Studies on the Reliability of the CES-D Scale",FALSE,FALSE
"metadat_dat.bornmann2007","metadat","dat.bornmann2007","Studies on Gender Differences in Grant and Fellowship Awards",FALSE,FALSE
"metadat_dat.bourassa1996","metadat","dat.bourassa1996","Studies on the Association between Handedness and Eye-Dominance",FALSE,FALSE
"metadat_dat.cannon2006","metadat","dat.cannon2006","Studies on the Effectiveness of Intensive Versus Moderate Statin Therapy for Preventing Coronary Death or Myocardial Infarction",FALSE,FALSE
"metadat_dat.cohen1981","metadat","dat.cohen1981","Studies on the Relationship between Course Instructor Ratings and Student Achievement",FALSE,FALSE
"metadat_dat.colditz1994","metadat","dat.colditz1994","Studies on the Effectiveness of the BCG Vaccine Against Tuberculosis",TRUE,FALSE
"metadat_dat.collins1985a","metadat","dat.collins1985a","Studies on the Treatment of Upper Gastrointestinal Bleeding by a Histamine H2 Antagonist",FALSE,FALSE
"metadat_dat.collins1985b","metadat","dat.collins1985b","Studies on the Effects of Diuretics in Pregnancy",FALSE,FALSE
"metadat_dat.craft2003","metadat","dat.craft2003","Studies on the Relationship between the Competitive State Anxiety Inventory-2 and Sport Performance",FALSE,FALSE
"metadat_dat.crede2010","metadat","dat.crede2010","Studies on the Relationship between Class Attendance and Grades in College Students",FALSE,FALSE
"metadat_dat.crisafulli2020","metadat","dat.crisafulli2020","Duchenne Muscular Dystrophy (DMD) Prevalence Data",FALSE,FALSE
"metadat_dat.curtin2002","metadat","dat.curtin2002","Studies on Potassium Supplementation to Reduce Diastolic Blood Pressure",FALSE,FALSE
"metadat_dat.curtis1998","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",TRUE,FALSE
"metadat_dat.dagostino1998","metadat","dat.dagostino1998","Studies on the Effectiveness of Antihistamines in Reducing Symptoms of the Common Cold",FALSE,FALSE
"metadat_dat.damico2009","metadat","dat.damico2009","Studies on Topical plus Systemic Antibiotics to Prevent Respiratory Tract Infections",FALSE,FALSE
"metadat_dat.debruin2009","metadat","dat.debruin2009","Studies on Standard Care Quality and HAART-Adherence",FALSE,FALSE
"metadat_dat.dogliotti2014","metadat","dat.dogliotti2014","Studies on Antithrombotic Treatments to Prevent Strokes",FALSE,FALSE
"metadat_dat.dong2013","metadat","dat.dong2013","Studies on Safety of Inhaled Medications for Chronic Obstructive Pulmonary Disease",FALSE,FALSE
"metadat_dat.dorn2007","metadat","dat.dorn2007","Studies on Complementary and Alternative Medicine for Irritable Bowel Syndrome",FALSE,FALSE
"metadat_dat.dumouchel1994","metadat","dat.dumouchel1994","Nitrogen dioxide data set",FALSE,FALSE
"metadat_dat.egger2001","metadat","dat.egger2001","Studies on the Effectiveness of Intravenous Magnesium in Acute Myocardial Infarction",FALSE,FALSE
"metadat_dat.fine1993","metadat","dat.fine1993","Studies on Radiation Therapy with or without Adjuvant Chemotherapy in Patients with Malignant Gliomas",FALSE,FALSE
"metadat_dat.franchini2012","metadat","dat.franchini2012","Studies on Dopamine Agonists to Reduce ""Off-Time"" in Patients with Advanced Parkinson Disease",FALSE,FALSE
"metadat_dat.frank2008","metadat","dat.frank2008","Studies on the Association Between the CASP8 -652 6N del Promoter Polymorphism and Breast Cancer Risk",FALSE,FALSE
"metadat_dat.furukawa2003","metadat","dat.furukawa2003","Studies on Low Dosage Tricyclic Antidepressants for the Treatment of Depression",FALSE,FALSE
"metadat_dat.gibson2002","metadat","dat.gibson2002","Studies on the Effectiveness of Self-Management Education and Regular Medical Review for Adults with Asthma",TRUE,FALSE
"metadat_dat.graves2010","metadat","dat.graves2010","Studies on the Effectiveness of Injected Cholera Vaccines",FALSE,FALSE
"metadat_dat.gurusamy2011","metadat","dat.gurusamy2011","Studies on Interventions to Reduce Mortality after Liver Transplantation",FALSE,FALSE
"metadat_dat.hackshaw1998","metadat","dat.hackshaw1998","Studies on the Risk of Lung Cancer in Women Exposed to Environmental Tobacco Smoke",TRUE,TRUE
"metadat_dat.hahn2001","metadat","dat.hahn2001","Studies on the Effectiveness of Different Rehydration Solutions for the Prevention of Unscheduled Intravenous Infusion in Children with Diarrhoea",FALSE,FALSE
"metadat_dat.hannum2020","metadat","dat.hannum2020","Studies Comparing Objective and Subjective Olfactory Loss in COVID-19 Patients",FALSE,FALSE
"metadat_dat.hart1999","metadat","dat.hart1999","Studies on the Effectiveness of Warfarin for Preventing Strokes",FALSE,FALSE
"metadat_dat.hartmannboyce2018","metadat","dat.hartmannboyce2018","Studies on the Effectiveness of Nicotine Replacement Therapy for Smoking Cessation",FALSE,FALSE
"metadat_dat.hasselblad1998","metadat","dat.hasselblad1998","Studies on the Effectiveness of Counseling for Smoking Cessation",FALSE,FALSE
"metadat_dat.hine1989","metadat","dat.hine1989","Studies on Prophylactic Use of Lidocaine After a Heart Attack",FALSE,FALSE
"metadat_dat.ishak2007","metadat","dat.ishak2007","Studies on Deep-Brain Stimulation in Patients with Parkinson's disease",FALSE,FALSE
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",TRUE,TRUE
"metadat_dat.kearon1998","metadat","dat.kearon1998","Studies on the Accuracy of Venous Ultrasonography for the Diagnosis of Deep Venous Thrombosis",FALSE,FALSE
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",TRUE,TRUE
